Name,DPOY
Sidney Moncrief,2
Mark Eaton,2
Alvin Robertson,1
Michael Cooper,1
Michael Jordan,1
Dennis Rodman,2
David Robinson,1
Hakeem Olajuwon,2
Dikembe Mutombo,4
Gary Payton,1
Alonzo Mourning,2
Ben Wallace,4
Metta World Peace,1
Marcus Camby,1
Kevin Garnett,1
Dwight Howard,3
Tyson Chandler,1
Marc Gasol,1
Joakim Noah,1
Kawhi Leonard,2
Draymond Green,1
Rudy Gobert,2
Giannis Antetokounmpo,1
